step,train_loss
0,6.893347
1,6.935938
2,6.952
3,6.94273
4,6.851046
5,6.735085
6,6.649305
7,6.5816
8,6.502287
9,6.358297
10,6.263046
11,6.144127
12,6.054491
13,5.933358
14,5.836754
15,5.725899
16,5.596375
17,5.46124
18,5.340207
19,5.276527
20,5.198352
21,5.101676
22,5.021942
23,4.923872
24,4.868073
25,4.773456
26,4.696429
27,4.653586
28,4.562581
29,4.473698
30,4.397384
31,4.35509
32,4.265538
33,4.209555
34,4.145298
35,4.075236
36,4.012096
37,3.954386
38,3.886439
39,3.828726
40,3.794714
41,3.758069
42,3.719115
43,3.689364
44,3.67338
45,3.604398
46,3.536085
47,3.514198
48,3.463706
49,3.392512
50,3.356245
51,3.309654
52,3.291879
53,3.272891
54,3.254661
55,3.261854
56,3.326714
57,3.276192
58,3.263226
59,3.264694
60,3.204116
61,3.173927
62,3.119451
63,3.074024
64,3.038402
65,3.016506
66,3.003715
67,2.978992
68,2.977285
69,2.974062
70,2.955891
71,2.981477
72,2.985921
73,2.993632
74,2.979869
75,2.952737
76,2.917676
77,2.875521
78,2.870408
79,2.864889
80,2.879339
81,2.910053
82,2.942621
83,2.923111
84,2.932911
85,2.914946
86,2.923092
87,2.891742
88,2.85837
89,2.855395
90,2.857612
91,2.870049
92,2.873416
93,2.800144
94,2.7798
95,2.772294
96,2.765604
97,2.744669
98,2.745364
99,2.721767
100,2.726803
101,2.695416
102,2.703959
103,2.691605
104,2.679141
105,2.681852
106,2.64863
107,2.652829
108,2.671752
109,2.658322
110,2.679604
111,2.669385
112,2.645392
113,2.627461
114,2.604655
115,2.590487
116,2.609111
117,2.566355
118,2.564821
119,2.56161
120,2.571122
121,2.582816
122,2.588447
123,2.620003
124,2.609076
125,2.625899
126,2.6132
127,2.573641
128,2.580858
129,2.571432
130,2.543276
131,2.545236
132,2.569977
133,2.598952
134,2.581434
135,2.574421
136,2.591478
137,2.592093
138,2.605921
139,2.622079
140,2.623738
141,2.662062
142,2.678288
143,2.674159
144,2.656559
145,2.667842
146,2.621945
147,2.616036
148,2.634371
149,2.64859
150,2.653031
151,2.661015
152,2.669782
153,2.676473
